DATE,HOUR-MST,Avg Global PSP [W/m^2],Avg Diffuse SB PSP [W/m^2]
7/1/1991,1,-4.2741,-3.5806
7/1/1991,2,-3.9175,-3.3500
7/1/1991,3,-4.7053,-4.0442
7/1/1991,4,-3.7936,-3.0970
7/1/1991,5,1.7049,2.8225
7/1/1991,6,94.6924,38.3546
7/1/1991,7,279.3783,48.9615
7/1/1991,8,473.5892,47.6902
7/1/1991,9,655.8692,50.1807
7/1/1991,10,814.2967,55.4432
7/1/1991,11,932.3767,58.9915
7/1/1991,12,988.9850,61.6979
7/1/1991,13,988.4658,65.1989
7/1/1991,14,931.2900,65.7781
7/1/1991,15,816.6000,63.8271
7/1/1991,16,644.8525,79.1246
7/1/1991,17,473.0258,81.0314
7/1/1991,18,326.7075,100.0331
7/1/1991,19,104.1234,65.7767
7/1/1991,20,0.9317,1.6541
7/1/1991,21,-4.9217,-4.2000
7/1/1991,22,-5.0757,-3.9856
7/1/1991,23,-4.7854,-3.8410
7/2/1991,0,-3.6249,-2.9454
7/2/1991,1,-3.5179,-3.2496
7/2/1991,2,-3.9300,-3.4314
7/2/1991,3,-3.6690,-3.2906
7/2/1991,4,-3.8812,-3.3950
7/2/1991,5,0.9103,1.3547
7/2/1991,6,93.5202,42.6571
7/2/1991,7,274.6542,55.7756
7/2/1991,8,470.6017,60.2873
7/2/1991,9,656.7717,66.1810
7/2/1991,10,813.8983,71.7174
7/2/1991,11,920.5892,83.7978
7/2/1991,12,972.1592,102.9866
7/2/1991,13,965.0592,110.1667
7/2/1991,14,868.5917,121.8325
7/2/1991,15,746.5792,175.3767
7/2/1991,16,656.1567,122.5150
7/2/1991,17,356.0608,130.5700
7/2/1991,18,187.2605,70.7986
7/2/1991,19,104.1224,49.5107
7/2/1991,20,2.1420,2.5913
7/2/1991,21,-4.5297,-3.9483
7/2/1991,22,-4.2315,-3.6465
7/2/1991,23,-1.4984,-2.3166
7/3/1991,0,-2.1527,-2.5201
7/3/1991,1,-2.2636,-1.6857
7/3/1991,2,-3.6245,-2.9512
7/3/1991,3,-3.6839,-3.3444
7/3/1991,4,-4.0410,-3.1966
7/3/1991,5,0.6176,2.0163
7/3/1991,6,83.2605,39.7517
7/3/1991,7,267.5617,58.8525
7/3/1991,8,458.0792,58.4678
7/3/1991,9,641.0775,59.0437
7/3/1991,10,797.6283,61.9179
7/3/1991,11,911.8658,71.2313
7/3/1991,12,974.8517,81.5316
7/3/1991,13,959.0817,103.9822
7/3/1991,14,771.6708,134.1250
7/3/1991,15,616.4947,100.5447
7/3/1991,16,166.6847,109.9967
7/3/1991,17,226.1861,105.1478
7/3/1991,18,282.1338,143.3870
7/3/1991,19,166.7892,103.2330
7/3/1991,20,9.0316,7.4272
7/3/1991,21,-4.5276,-3.8439
7/3/1991,22,-3.8384,-3.0310
7/3/1991,23,-3.7599,-3.1410
7/4/1991,0,-4.1092,-3.3315
7/4/1991,1,-3.9415,-3.2579
7/4/1991,2,-3.9727,-3.3051
7/4/1991,3,-3.6601,-3.0472
7/4/1991,4,-4.4367,-3.8320
7/4/1991,5,1.7921,3.0007
7/4/1991,6,112.8108,51.5378
7/4/1991,7,284.1092,45.1948
7/4/1991,8,473.9983,40.5648
7/4/1991,9,662.8158,42.7990
7/4/1991,10,822.8233,47.5025
7/4/1991,11,941.9058,50.4349
7/4/1991,12,1004.4175,55.4163
7/4/1991,13,1002.1975,59.0891
7/4/1991,14,948.2450,61.3070
7/4/1991,15,829.9767,62.0842
7/4/1991,16,592.5642,92.5153
7/4/1991,17,336.1842,102.1412
7/4/1991,18,259.5096,66.2539
7/4/1991,19,95.1838,34.0804
7/4/1991,20,0.9580,2.5918
7/4/1991,21,-5.9021,-5.0097
7/4/1991,22,-6.4038,-5.1948
7/4/1991,23,-4.9631,-4.1746
7/5/1991,0,-5.4612,-4.7311
7/5/1991,1,-4.6002,-3.8471
7/5/1991,2,-4.2317,-3.6111
7/5/1991,3,-4.1232,-3.5826
7/5/1991,4,-4.4158,-3.7931
7/5/1991,5,1.7104,3.3684
7/5/1991,6,94.5561,40.4337
7/5/1991,7,280.0742,51.7751
7/5/1991,8,470.9117,47.8513
7/5/1991,9,657.3083,44.5037
7/5/1991,10,825.0592,59.8057
7/5/1991,11,460.8467,148.3800
7/5/1991,12,639.4550,178.6008
7/5/1991,13,940.2525,139.2526
7/5/1991,14,998.6058,98.0617
7/5/1991,15,862.8492,100.7668
7/5/1991,16,729.1625,89.9954
7/5/1991,17,533.8483,62.8230
7/5/1991,18,326.6367,54.8915
7/5/1991,19,118.9808,41.8410
7/5/1991,20,-0.2133,0.6511
7/5/1991,21,-7.4077,-5.7937
7/5/1991,22,-4.8038,-3.8691
7/5/1991,23,-3.9868,-3.3644
7/6/1991,0,-4.6600,-3.8792
7/6/1991,1,-5.2686,-4.2802
7/6/1991,2,-4.8670,-3.9320
7/6/1991,3,-4.3913,-3.5774
7/6/1991,4,-4.6444,-3.8391
7/6/1991,5,-0.3737,0.6604
7/6/1991,6,93.1314,39.7583
7/6/1991,7,255.6183,89.4896
7/6/1991,8,466.7275,183.7083
7/6/1991,9,292.8392,219.8008
7/6/1991,10,474.0083,297.4467
7/6/1991,11,800.7900,281.5875
7/6/1991,12,531.8708,212.0458
7/6/1991,13,953.7233,213.2708
7/6/1991,14,381.4333,240.9008
7/6/1991,15,203.8484,155.2124
7/6/1991,16,278.2592,157.1118
7/6/1991,17,445.4733,124.4408
7/6/1991,18,64.7976,61.5482
7/6/1991,19,48.2378,32.7608
7/6/1991,20,7.6667,6.8192
7/6/1991,21,-3.9969,-3.4285
7/6/1991,22,-4.8812,-4.3821
7/6/1991,23,-4.6729,-3.9634
7/7/1991,0,-4.2052,-3.5926
7/7/1991,1,-3.8638,-3.3108
7/7/1991,2,-5.8566,-4.9580
7/7/1991,3,-2.8261,-2.3710
7/7/1991,4,-2.2079,-2.0026
7/7/1991,5,0.2021,0.9443
7/7/1991,6,46.0928,41.2133
7/7/1991,7,85.8352,76.9418
7/7/1991,8,170.6600,147.8758
7/7/1991,9,549.5933,216.9983
7/7/1991,10,812.8850,94.6684
7/7/1991,11,911.5458,106.7134
7/7/1991,12,774.7900,240.8633
7/7/1991,13,476.8017,340.7292
7/7/1991,14,454.4625,302.5400
7/7/1991,15,73.6912,71.0784
7/7/1991,16,416.1667,192.1762
7/7/1991,17,262.7750,189.6358
