DATE,HOUR-MST,Avg Global PSP [W/m^2],Avg Direct NIP #2 [W/m^2],Avg Diffuse PSP (sband corr) [W/m^2],Avg Total Cloud Cover [%],Avg Opaque Cloud Cover [%]
7/1/2004,1,-2.5854,0.7128,-3.5435,-99999,-99999
7/1/2004,2,-1.6189,0.8435,-2.2365,-99999,-99999
7/1/2004,3,-1.8606,0.7927,-1.8183,-99999,-99999
7/1/2004,4,-3.2856,0.5330,-2.8852,-99999,-99999
7/1/2004,5,0.8877,0.5308,1.3866,-99999,-99999
7/1/2004,6,58.5865,89.8743,47.5275,-99999,-99999
7/1/2004,7,222.4019,403.8879,100.4257,-99999,-99999
7/1/2004,8,483.5297,802.5622,92.1110,-99999,-99999
7/1/2004,9,674.3028,838.4362,110.5412,-99999,-99999
7/1/2004,10,845.0988,910.3483,102.3020,-99999,-99999
7/1/2004,11,985.7978,929.8607,131.6309,-99999,-99999
7/1/2004,12,1008.4970,851.4320,177.5567,-99999,-99999
7/1/2004,13,973.9055,836.6508,158.0965,-99999,-99999
7/1/2004,14,797.5790,614.2209,218.0154,-99999,-99999
7/1/2004,15,564.0757,358.4845,262.3282,-99999,-99999
7/1/2004,16,719.0032,888.8582,122.0726,-99999,-99999
7/1/2004,17,439.1057,619.7617,122.4414,-99999,-99999
7/1/2004,18,258.2773,536.6075,86.0508,-99999,-99999
7/1/2004,19,57.9052,153.9220,37.8421,-99999,-99999
7/1/2004,20,1.6294,8.7780,2.4325,-99999,-99999
7/1/2004,21,-5.0448,0.2500,-4.3224,-99999,-99999
7/1/2004,22,-4.4473,0.5595,-3.9574,-99999,-99999
7/1/2004,23,-4.3546,0.2222,-4.0540,-99999,-99999
7/2/2004,0,-3.4205,0.4393,-2.9448,-99999,-99999
7/2/2004,1,-3.9181,0.1112,-3.2365,-99999,-99999
7/2/2004,2,-3.6218,0.2724,-3.2347,-99999,-99999
7/2/2004,3,-3.4733,0.5612,-2.8366,-99999,-99999
7/2/2004,4,-3.7524,0.2966,-3.1434,-99999,-99999
7/2/2004,5,2.6844,46.0175,4.0279,-99999,-99999
7/2/2004,6,100.1046,513.9738,57.6631,-99999,-99999
7/2/2004,7,285.9913,764.8330,68.6727,-99999,-99999
7/2/2004,8,488.5383,876.8427,64.8509,-99999,-99999
7/2/2004,9,686.6938,927.1668,71.3843,-99999,-99999
7/2/2004,10,851.2642,952.4618,79.8839,-99999,-99999
7/2/2004,11,907.6443,840.7748,133.2330,-99999,-99999
