DATE,HOUR-MST,Avg Global PSP [W/m^2],Avg Global Extraterrestrial (calc) [W/m^2],Avg Direct NIP #2 [W/m^2],Avg Diffuse PSP (sband corr) [W/m^2],Avg Total Cloud Cover [%],Avg Opaque Cloud Cover [%]
7/1/2007,1,-5.6976,0.0000,0.3663,-5.0775,-1.0000,-1.0000
7/1/2007,2,-4.8017,0.0000,0.0787,-4.4655,-1.0000,-1.0000
7/1/2007,3,-4.7073,0.0000,0.1426,-4.0149,-1.0000,-1.0000
7/1/2007,4,-4.8829,0.0000,-0.7740,-3.7899,-1.0000,-1.0000
7/1/2007,5,0.7272,13.9461,20.4999,2.2022,-1.0000,-1.0000
7/1/2007,6,83.8687,196.2028,310.6152,59.4585,2.7333,1.9167
7/1/2007,7,251.4237,438.2552,527.4143,109.5271,6.9333,4.3833
7/1/2007,8,439.0917,674.0500,592.0270,163.4603,10.2667,3.1333
7/1/2007,9,595.5452,886.7705,633.8623,185.5200,6.5833,1.4500
7/1/2007,10,813.6503,1061.7892,823.7753,145.9535,1.0333,0.6500
7/1/2007,11,964.4677,1187.1346,913.7005,125.0270,0.0000,0.0000
7/1/2007,12,1026.5597,1254.2438,936.2928,113.3078,0.0536,0.0536
7/1/2007,13,1031.1600,1258.5327,932.5695,117.8773,0.1000,0.1000
7/1/2007,14,972.6530,1199.7032,903.7245,130.4602,0.7333,0.2833
7/1/2007,15,854.4620,1081.7644,840.6662,159.4201,3.1167,1.2167
7/1/2007,16,663.2583,912.7632,747.8151,153.8414,5.3333,2.3167
7/1/2007,17,474.7085,704.2468,700.8888,119.1707,5.1167,3.2667
7/1/2007,18,285.6367,470.5282,629.2428,96.1639,2.0500,1.5667
7/1/2007,19,64.9225,228.0819,160.2746,44.5566,7.4500,3.8167
7/1/2007,20,1.8255,26.3279,8.0040,2.7531,2.4000,1.2667
7/1/2007,21,-5.4995,0.0000,-0.1821,-4.4341,-1.0000,-1.0000
7/1/2007,22,-2.0616,0.0000,0.3951,-1.8872,-1.0000,-1.0000
7/1/2007,23,-3.3272,0.0000,-0.3291,-2.8739,-1.0000,-1.0000
7/2/2007,0,-4.2523,0.0000,-0.5784,-3.6314,-1.0000,-1.0000
7/2/2007,1,-5.7453,0.0000,-0.0107,-4.8740,-1.0000,-1.0000
7/2/2007,2,-4.4216,0.0000,0.3315,-3.9240,-1.0000,-1.0000
7/2/2007,3,-3.6679,0.0000,1.3399,-3.2239,-1.0000,-1.0000
7/2/2007,4,-2.8455,0.0000,2.3126,-2.9164,-1.0000,-1.0000
7/2/2007,5,5.3378,13.3268,10.6708,5.0400,-1.0000,-1.0000
7/2/2007,6,63.5535,194.4292,135.0970,56.8492,18.0667,8.5667
7/2/2007,7,264.6650,436.5748,570.7528,99.3613,3.0000,1.9667
7/2/2007,8,483.8813,672.5283,768.7438,111.0410,1.3833,1.0000
